Scenario,Group,ConditionA,ConditionB,MedianA_nm,MedianB_nm,MedianReductionPercent,WinRateA_percent
outlier,C1_VIFbeforeL1,ASML-VIF L1,ASML L1,0.488380196212909,0.500534743979805,2.42831250239577,57.8
outlier,C1_VIFbeforeL1,ASML-VIF Huber+L1,ASML Huber+L1,0.193552347738673,0.191838570900782,-0.893343205093733,52
outlier,C1_VIFbeforeL1,Nikon-VIF L1,Nikon L1,0.482822966153462,0.505377073048502,4.46282748027919,76.6
outlier,C1_VIFbeforeL1,Nikon-VIF Huber+L1,Nikon Huber+L1,0.197492392195398,0.190537119219473,-3.6503506531524,33.3
outlier,C2_L2vsL1_VIF,ASML-VIF L2,ASML-VIF L1,0.508587525562454,0.488380196212909,-4.13762259531429,29.5
outlier,C2_L2vsL1_VIF,ASML-VIF Huber+L2,ASML-VIF Huber+L1,0.178184768818448,0.193552347738673,7.93975330176491,70.1
outlier,C2_L2vsL1_VIF,Nikon-VIF L2,Nikon-VIF L1,0.504004750146244,0.482822966153462,-4.38707051603864,31.1
outlier,C2_L2vsL1_VIF,Nikon-VIF Huber+L2,Nikon-VIF Huber+L1,0.185370519159845,0.197492392195398,6.13789366810653,68.8
outlier,C2_L2vsL1_Full,ASML Huber+L2,ASML Huber+L1,0.171054737782611,0.191838570900782,10.8340220741741,75.6
outlier,C2_L2vsL1_Full,Nikon Huber+L2,Nikon Huber+L1,0.184260379690015,0.190537119219473,3.29423450673036,57.8
outlier,C3_Robust,ASML Huber,ASML OLS,0.185666590110463,0.602907134651744,69.2047780761943,89.3
outlier,C3_Robust,ASML-VIF Huber,ASML-VIF OLS,0.187713875555988,0.569215377656467,67.0223463869106,89.7
outlier,C3_Robust,Nikon Huber,Nikon OLS,0.324061254310268,1.0237219832741,68.3447987241764,90.2
outlier,C3_Robust,Nikon-VIF Huber,Nikon-VIF OLS,0.197170103906628,0.577267123506181,65.8442173687176,90.3
outlier,C3_Robust,ASML-VIF Huber+L2,ASML-VIF L2,0.178184768818448,0.508587525562454,64.9647779659183,89.6
outlier,C3_Robust,Nikon-VIF Huber+L2,Nikon-VIF L2,0.185370519159845,0.504004750146244,63.2204817303692,89.5
outlier,C4_VIFonly,ASML-VIF OLS,ASML OLS,0.569215377656467,0.602907134651744,5.5882166686811,76.2
outlier,C4_VIFonly,Nikon-VIF OLS,Nikon OLS,0.577267123506181,1.0237219832741,43.6109478024542,99.6
outlier,C4_VIFonly,ASML-VIF Huber,ASML Huber,0.187713875555988,0.185666590110463,-1.10266766051312,56.8
outlier,C4_VIFonly,Nikon-VIF Huber,Nikon Huber,0.197170103906628,0.324061254310268,39.1565325122608,98.4
clean,C1_VIFbeforeL1,ASML-VIF L1,ASML L1,0.168241311718174,0.165895500149647,-1.41402965506054,58.3
clean,C1_VIFbeforeL1,ASML-VIF Huber+L1,ASML Huber+L1,0.181782112477062,0.180542173410674,-0.686786385122407,53.9
clean,C1_VIFbeforeL1,Nikon-VIF L1,Nikon L1,0.171564565257169,0.165402879336587,-3.72525916434814,26.6
clean,C1_VIFbeforeL1,Nikon-VIF Huber+L1,Nikon Huber+L1,0.184537775551489,0.179276206982458,-2.93489507480804,28.8
clean,C2_L2vsL1_VIF,ASML-VIF L2,ASML-VIF L1,0.15683215213509,0.168241311718174,6.78142571914579,72.4
clean,C2_L2vsL1_VIF,ASML-VIF Huber+L2,ASML-VIF Huber+L1,0.1611760421151,0.181782112477062,11.3355874685208,81
clean,C2_L2vsL1_VIF,Nikon-VIF L2,Nikon-VIF L1,0.161593281045569,0.171564565257169,5.81197183500783,72
clean,C2_L2vsL1_VIF,Nikon-VIF Huber+L2,Nikon-VIF Huber+L1,0.16734437697512,0.184537775551489,9.31700760182405,79.5
clean,C2_L2vsL1_Full,ASML Huber+L2,ASML Huber+L1,0.155388727387691,0.180542173410674,13.9321719395538,86.1
clean,C2_L2vsL1_Full,Nikon Huber+L2,Nikon Huber+L1,0.164668852303603,0.179276206982458,8.14796058256881,71.5
clean,C3_Robust,ASML Huber,ASML OLS,0.16359828219901,0.157403678364978,-3.93548861016317,28.3
clean,C3_Robust,ASML-VIF Huber,ASML-VIF OLS,0.167459576296796,0.163301754122661,-2.54609768062359,32.2
clean,C3_Robust,Nikon Huber,Nikon OLS,0.263908787904805,0.253215609836862,-4.22295374081902,32.7
clean,C3_Robust,Nikon-VIF Huber,Nikon-VIF OLS,0.173986564658117,0.169494004267658,-2.65057186528188,31.5
clean,C3_Robust,ASML-VIF Huber+L2,ASML-VIF L2,0.1611760421151,0.15683215213509,-2.76977005089409,29.9
clean,C3_Robust,Nikon-VIF Huber+L2,Nikon-VIF L2,0.16734437697512,0.161593281045569,-3.55899446582133,29.9
clean,C4_VIFonly,ASML-VIF OLS,ASML OLS,0.163301754122661,0.157403678364978,-3.74710160458032,52.5
clean,C4_VIFonly,Nikon-VIF OLS,Nikon OLS,0.169494004267658,0.253215609836862,33.0633666791485,97.2
clean,C4_VIFonly,ASML-VIF Huber,ASML Huber,0.167459576296796,0.16359828219901,-2.36022899866919,52.4
clean,C4_VIFonly,Nikon-VIF Huber,Nikon Huber,0.173986564658117,0.263908787904805,34.0732205094757,97.4
