LambdaScale,Model,Method,MedianRmsNm,P95RmsNm
0.25,ASML,Huber+L1,0.162872484610157,0.25745605521353
0.25,ASML,Huber+L2,0.174023545057317,0.278940464650148
0.25,ASML-VIF,Huber+L1,0.172073811149869,0.279166440084031
0.25,ASML-VIF,Huber+L2,0.181314814136615,0.300008877752168
0.25,Nikon,Huber+L1,0.176780341863484,0.312389524448815
0.25,Nikon,Huber+L2,0.19521586342975,0.365253132643154
0.25,Nikon-VIF,Huber+L1,0.180859660248204,0.293780169815686
0.25,Nikon-VIF,Huber+L2,0.18804808040602,0.315014009369639
0.5,ASML,Huber+L1,0.167385234109817,0.248186305842116
0.5,ASML,Huber+L2,0.170569356253186,0.261061842484683
0.5,ASML-VIF,Huber+L1,0.174758169942948,0.266916016983536
0.5,ASML-VIF,Huber+L2,0.177889903374708,0.285593052251417
0.5,Nikon,Huber+L1,0.175334857082359,0.276980096626298
0.5,Nikon,Huber+L2,0.187645479062437,0.326086914313521
0.5,Nikon-VIF,Huber+L1,0.18116789797425,0.28049169916122
0.5,Nikon-VIF,Huber+L2,0.185037281750863,0.296506095729465
1,ASML,Huber+L1,0.191838570900782,0.275953629099565
1,ASML,Huber+L2,0.171054737782611,0.254327442606235
1,ASML-VIF,Huber+L1,0.193552347738673,0.280017376157655
1,ASML-VIF,Huber+L2,0.178184768818448,0.272035046006922
1,Nikon,Huber+L1,0.190537119219473,0.280558010125128
1,Nikon,Huber+L2,0.184260379690015,0.297375323524282
1,Nikon-VIF,Huber+L1,0.197492392195398,0.289398423372852
1,Nikon-VIF,Huber+L2,0.185370519159845,0.281400784552312
2,ASML,Huber+L1,0.237901619591468,0.34326444149142
2,ASML,Huber+L2,0.181995374632059,0.262135828702
2,ASML-VIF,Huber+L1,0.237901619591466,0.34368875877933
2,ASML-VIF,Huber+L2,0.1873645253153,0.278606332497358
2,Nikon,Huber+L1,0.236432968359014,0.3392912821722
2,Nikon,Huber+L2,0.187247658431505,0.285049034138226
2,Nikon-VIF,Huber+L1,0.239066261735095,0.344150196569866
2,Nikon-VIF,Huber+L2,0.192084764299385,0.281869538739128
4,ASML,Huber+L1,0.302272789423482,0.438277412370801
4,ASML,Huber+L2,0.206862305051602,0.308105335955889
4,ASML-VIF,Huber+L1,0.302272789423481,0.438277412370802
4,ASML-VIF,Huber+L2,0.210542378403635,0.312312934495035
4,Nikon,Huber+L1,0.300796544559543,0.436315444806353
4,Nikon,Huber+L2,0.199116819448806,0.3012242360584
4,Nikon-VIF,Huber+L1,0.302574940947578,0.438277412179276
4,Nikon-VIF,Huber+L2,0.211931569987543,0.313723317878793
8,ASML,Huber+L1,0.35447196133594,0.559041575834202
8,ASML,Huber+L2,0.242509873892374,0.374379268581194
8,ASML-VIF,Huber+L1,0.354471961335924,0.559041575834207
8,ASML-VIF,Huber+L2,0.244168950510692,0.37832408385388
8,Nikon,Huber+L1,0.353883800901505,0.559041575834238
8,Nikon,Huber+L2,0.221550636662771,0.346657716664071
8,Nikon-VIF,Huber+L1,0.354471961334987,0.559041575834238
8,Nikon-VIF,Huber+L2,0.242385568765093,0.368589410173769
