Condition,Axis,MedianRmsNm,P95RmsNm
NoCorrection,X,2.3301894529784,4.48085308910681
Floor_ASML,X,0.0122796508219554,0.0861037450285148
Floor_ASML-VIF,X,0.0388303313637596,0.17790754869482
Floor_Nikon,X,0.00355643192393344,0.187503865208886
Floor_Nikon-VIF,X,0.0763844609876386,0.231695197230749
NoCorrection,Y,2.3355234471033,4.6641796107746
Floor_ASML,Y,0.0347636628506774,0.103782542475637
Floor_ASML-VIF,Y,0.0573201660130648,0.177639049855439
Floor_Nikon,Y,0.000595288717850382,0.168561399302393
Floor_Nikon-VIF,Y,0.0415038204658547,0.175773168843956
