Scenario,Model,Method,Axis,TermCount,MedianRmsNm,P95RmsNm,MeanPlus3SigmaNm,MedianApparentRmsNm
outlier,ASML,OLS,X,10,0.5906888771256,1.09056161785904,1.99770409856956,1.03813314031441
outlier,ASML,Huber,X,10,0.183471045897356,0.334807608336902,0.676966757787159,1.17305735950813
outlier,ASML,L2,X,10,0.501480521411065,0.91919866982349,1.71293159115145,1.04601232785101
outlier,ASML,L1,X,10,0.481460382819921,0.957469870200433,1.70304896513943,1.05793431270829
outlier,ASML,Huber+L2,X,10,0.164002185865173,0.267791729671393,0.544505717960287,1.18362871968792
outlier,ASML,Huber+L1,X,10,0.180219790555514,0.294365631074912,0.595303995558616,1.20186804566475
outlier,ASML,OLS,Y,10,0.595706753630228,1.13099415870251,2.02627316513151,1.04047762883981
outlier,ASML,Huber,Y,10,0.185324719446963,0.362631549387029,0.716608254658153,1.18365117101289
outlier,ASML,L2,Y,10,0.504625280954023,0.957039778534345,1.74161150669243,1.0541408127758
outlier,ASML,L1,Y,10,0.487746418984338,0.992255148290942,1.73894958918027,1.06445708116524
outlier,ASML,Huber+L2,Y,10,0.169147424301561,0.27723349829317,0.559736451534705,1.20793575769937
outlier,ASML,Huber+L1,Y,10,0.188234454121919,0.30137666299272,0.613935335237216,1.23057461243179
outlier,ASML-VIF,OLS,X,9,0.548894842019875,1.02921941706806,1.88762972269703,1.05782034364052
outlier,ASML-VIF,Huber,X,9,0.182443511749759,0.345578907562692,0.674622496277464,1.17407543264377
outlier,ASML-VIF,L2,X,9,0.490245262027758,0.907614312266519,1.68510610985991,1.06526699023442
outlier,ASML-VIF,L1,X,9,0.467357176706592,0.92042824723775,1.66473753797939,1.07167318003678
outlier,ASML-VIF,Huber+L2,X,9,0.168062441419053,0.289233880008616,0.571691679651912,1.18551282928442
outlier,ASML-VIF,Huber+L1,X,9,0.180596860225556,0.301659364014779,0.603410412257921,1.20321523801472
outlier,ASML-VIF,OLS,Y,9,0.557155837522549,1.07275237487239,1.91120136716708,1.07068501278945
outlier,ASML-VIF,Huber,Y,9,0.187863601842108,0.369629910527276,0.713472636408471,1.19392921919852
outlier,ASML-VIF,L2,Y,9,0.498379192164947,0.940107922746894,1.71340770255058,1.07533811532573
outlier,ASML-VIF,L1,Y,9,0.479405398893728,0.966238187753767,1.69629232037369,1.08515961120048
outlier,ASML-VIF,Huber+L2,Y,9,0.17648354308026,0.298246217666769,0.586167121000525,1.21203165229286
outlier,ASML-VIF,Huber+L1,Y,9,0.190741164145907,0.305459249108519,0.620131609843594,1.2316513229518
outlier,Nikon,OLS,X,12,0.911874917087744,1.96129971921145,3.30371030706099,0.998702876752725
outlier,Nikon,Huber,X,12,0.2790126429234,0.546910463824363,1.14946648137878,1.16747061800049
outlier,Nikon,L2,X,12,0.514553865005834,0.942659801827687,1.7465644137831,1.05148608845257
outlier,Nikon,L1,X,12,0.482978350953049,0.951770184051759,1.71949589529059,1.06637849445172
outlier,Nikon,Huber+L2,X,12,0.172610338293146,0.292247918612985,0.580941817130786,1.18725583728665
outlier,Nikon,Huber+L1,X,12,0.182053630079013,0.319576140036272,0.611263800697714,1.20882949768499
outlier,Nikon,OLS,Y,15,1.01550238437265,2.0778123373222,3.59676666619533,0.919845547147753
outlier,Nikon,Huber,Y,15,0.342793501284703,1.06879351386524,1.64402066393665,1.11324585251061
outlier,Nikon,L2,Y,15,0.535361014012265,1.03204916491533,1.86007480188374,1.03162991756271
outlier,Nikon,L1,Y,15,0.503679989549041,1.05607755019993,1.81589584348278,1.05249264286195
outlier,Nikon,Huber+L2,Y,15,0.181489412501456,0.341628452257958,0.644989347185999,1.19369723379694
outlier,Nikon,Huber+L1,Y,15,0.183983134584694,0.303923262613638,0.607295733814787,1.22436667793797
outlier,Nikon-VIF,OLS,X,8,0.530580400350642,0.970911000644507,1.80548069197521,1.07548599086502
outlier,Nikon-VIF,Huber,X,8,0.187870634380846,0.33968720507978,0.653814295863293,1.18640373698178
outlier,Nikon-VIF,L2,X,8,0.477675006179935,0.871636699596072,1.63173976768525,1.08243734896209
outlier,Nikon-VIF,L1,X,8,0.460024088534338,0.876398310567146,1.61438744683695,1.08994696911959
outlier,Nikon-VIF,Huber+L2,X,8,0.178177575907277,0.317892351194629,0.60212904445709,1.1978057530876
outlier,Nikon-VIF,Huber+L1,X,8,0.18758151532007,0.330607254167139,0.630381233077493,1.20873450110925
outlier,Nikon-VIF,OLS,Y,10,0.586907631649799,1.13342111329102,2.01134933655839,1.04521443704027
outlier,Nikon-VIF,Huber,Y,10,0.19507836386484,0.460430616673874,0.786777284906116,1.18641496764718
outlier,Nikon-VIF,L2,Y,10,0.504442069505308,0.961060603994746,1.73702613209879,1.05670771924911
outlier,Nikon-VIF,L1,Y,10,0.482781673249057,0.997078257873717,1.72548362758721,1.06930714326021
outlier,Nikon-VIF,Huber+L2,Y,10,0.175754406562534,0.303361506987948,0.594717342430445,1.20757367980761
outlier,Nikon-VIF,Huber+L1,Y,10,0.188349340272956,0.305459248678029,0.617802872586293,1.23250525269146
clean,ASML,OLS,X,10,0.152231367659468,0.217479742958265,0.477451186969993,0.250584407093613
clean,ASML,Huber,X,10,0.157236732562212,0.226840377377205,0.492553076794154,0.253324074028542
clean,ASML,L2,X,10,0.143457845331296,0.212343185176143,0.451061759261465,0.261619171683223
clean,ASML,L1,X,10,0.157154263119834,0.243399960574392,0.502850807218843,0.294753134054566
clean,ASML,Huber+L2,X,10,0.147295661528027,0.217808435971925,0.466858650527432,0.268278669575463
clean,ASML,Huber+L1,X,10,0.170911208900619,0.273124262661963,0.548409147932519,0.308341205122321
clean,ASML,OLS,Y,10,0.156637279379505,0.211858394817883,0.487002265731823,0.256078617167841
clean,ASML,Huber,Y,10,0.161992482603445,0.22290785493903,0.502813448118894,0.25949808635065
clean,ASML,L2,Y,10,0.146915926325588,0.210377331802203,0.465443670363748,0.266969522673268
clean,ASML,L1,Y,10,0.165938168141507,0.246399401090174,0.521625409382123,0.301592201163927
clean,ASML,Huber+L2,Y,10,0.152494061790361,0.22212577799995,0.48356407295802,0.273821276204767
clean,ASML,Huber+L1,Y,10,0.180313021786028,0.276718215128894,0.568416236591032,0.314507510716375
clean,ASML-VIF,OLS,X,9,0.155400439437957,0.248751621121977,0.501842052510529,0.263828801459786
clean,ASML-VIF,Huber,X,9,0.158469045187832,0.250687397595999,0.512828799186029,0.266746879529638
clean,ASML-VIF,L2,X,9,0.14955370778455,0.23958217499247,0.486565969380729,0.270656070637654
clean,ASML-VIF,L1,X,9,0.160365728594175,0.260497266419975,0.518826288801747,0.295949997977598
clean,ASML-VIF,Huber+L2,X,9,0.152538678014888,0.247175773435478,0.498724559404083,0.276604946791776
clean,ASML-VIF,Huber+L1,X,9,0.171511771463466,0.281506049885101,0.557400169597819,0.308945736411979
clean,ASML-VIF,OLS,Y,9,0.160615980588826,0.241073852598508,0.512439441579773,0.268706808046879
clean,ASML-VIF,Huber,Y,9,0.166076090416777,0.249544156506796,0.524773170636184,0.270867884413651
clean,ASML-VIF,L2,Y,9,0.15588216998974,0.239152072192613,0.498723797906669,0.275575242908267
clean,ASML-VIF,L1,Y,9,0.167889925262334,0.26003313597269,0.533800833855787,0.302466904207093
clean,ASML-VIF,Huber+L2,Y,9,0.1617177651629,0.247733000466896,0.514013720773801,0.281214356050893
clean,ASML-VIF,Huber+L1,Y,9,0.181021552226752,0.281119830464879,0.574659916200109,0.315010885061292
clean,Nikon,OLS,X,12,0.229512555357635,0.402068381142504,0.775682119382944,0.247380225968405
clean,Nikon,Huber,X,12,0.238931905633591,0.4238808225947,0.806621337678118,0.252560402180835
clean,Nikon,L2,X,12,0.152201801223939,0.248736302621483,0.500007174313572,0.267322465730064
clean,Nikon,L1,X,12,0.161125254644734,0.269499821706319,0.529776386916916,0.297960162211645
clean,Nikon,Huber+L2,X,12,0.156860982225195,0.256242526414827,0.511797353549668,0.272911967170237
clean,Nikon,Huber+L1,X,12,0.172775874436703,0.287102723184379,0.569102533475828,0.308286199859131
clean,Nikon,OLS,Y,15,0.252932378531813,0.408081798029333,0.830995877232903,0.230576079316134
