Model,Axis,Term,Monomial,Order,VIF,Kept,RemovalOrder,VIFAfter
ASML,X,k1,1,0,NaN,1,0,NaN
ASML,X,k3,x,1,10.3611111111111,1,0,2.33333333333333
ASML,X,k5,y,1,8.78042328042328,1,0,8.78042328042328
ASML,X,k7,x^{2},2,0.999999999999999,1,0,0.999999999999999
ASML,X,k9,xy,2,1,1,0,1
ASML,X,k11,y^{2},2,1,1,0,1
ASML,X,k13,x^{3},3,9.02777777777778,0,1,NaN
ASML,X,k15,x^{2}y,3,2.42857142857143,1,0,2.42857142857143
ASML,X,k17,xy^{2},3,2.33333333333333,1,0,2.33333333333333
ASML,X,k19,y^{3},3,7.35185185185186,1,0,7.35185185185186
ASML,Y,k2,1,0,NaN,1,0,NaN
ASML,Y,k4,y,1,8.78042328042328,1,0,8.78042328042328
ASML,Y,k6,x,1,10.3611111111111,1,0,2.33333333333333
ASML,Y,k8,y^{2},2,1,1,0,1
ASML,Y,k10,xy,2,1,1,0,1
ASML,Y,k12,x^{2},2,0.999999999999999,1,0,0.999999999999999
ASML,Y,k14,y^{3},3,7.35185185185185,1,0,7.35185185185185
ASML,Y,k16,xy^{2},3,2.33333333333333,1,0,2.33333333333333
ASML,Y,k18,x^{2}y,3,2.42857142857143,1,0,2.42857142857143
ASML,Y,k20,x^{3},3,9.02777777777778,0,1,NaN
Nikon,X,OFSX,1,0,NaN,1,0,NaN
Nikon,X,SCLX,x,1,10.3611111111111,1,0,2.33333333333333
Nikon,X,ROTX,y,1,32.7755555555555,1,0,7.35185185185185
Nikon,X,SHOTFAC02X,y^{2},2,251.070555555554,1,0,1
Nikon,X,SHOTFAC03X,y^{3},3,322.562500000001,1,0,7.35185185185185
Nikon,X,SHOTFAC04X,y^{4},4,2541.5347222223,0,3,NaN
Nikon,X,SHOTFAC05X,y^{5},5,175.215833333332,0,2,NaN
Nikon,X,SHOTFAC06X,y^{6},6,1266.98305555553,0,1,NaN
Nikon,X,SHOTFAC20X,x^{2},2,1,1,0,0.999999999999999
Nikon,X,SHOTFAC30X,x^{3},3,9.02777777777778,0,4,NaN
Nikon,X,SHOTFAC11X,xy,2,1,1,0,1
Nikon,X,SHOTFAC12X,xy^{2},3,2.33333333333333,1,0,2.33333333333333
Nikon,Y,OFSY,1,0,NaN,1,0,NaN
Nikon,Y,SCLY,y,1,34.204126984127,1,0,8.78042328042328
Nikon,Y,ROTY,x,1,3.96969696969697,1,0,2.33333333333333
Nikon,Y,SHOTFAC11Y,xy,2,32.7755555555555,1,0,7.35185185185185
Nikon,Y,SHOTFAC02Y,y^{2},2,251.070555555554,1,0,1
Nikon,Y,SHOTFAC12Y,xy^{2},3,42.0088383838383,1,0,2.33333333333333
Nikon,Y,SHOTFAC03Y,y^{3},3,322.562500000001,1,0,7.35185185185185
Nikon,Y,SHOTFAC13Y,xy^{3},4,322.562500000001,1,0,7.35185185185186
Nikon,Y,SHOTFAC04Y,y^{4},4,2541.5347222223,0,5,NaN
Nikon,Y,SHOTFAC14Y,xy^{4},5,30.1300505050505,0,4,NaN
Nikon,Y,SHOTFAC05Y,y^{5},5,175.215833333332,0,3,NaN
Nikon,Y,SHOTFAC15Y,xy^{5},6,175.215833333332,0,2,NaN
Nikon,Y,SHOTFAC06Y,y^{6},6,1266.98305555553,0,1,NaN
Nikon,Y,SHOTFAC20Y,x^{2},2,1,1,0,0.999999999999999
Nikon,Y,SHOTFAC21Y,x^{2}y,3,2.42857142857143,1,0,2.42857142857143
